CS,N,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS
ID,±¸×¢,IntType,StringType,DoubleType,FloatType,BoolType,IntArray,StringArray,DoubleArray,FloatArray,BoolArray,Int2Array,String2Array,Double2Array,Float2Array,Bool2Array,IntDic,StringDic,DoubleDic,FloatDic,BoolDic,IntArrayDic,StringArrayDic,DoubleArrayDic,FloatArrayDic,BoolArrayDic
,×¢ÊÍ,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Remark,IntType,StringType,DoubleType,FloatType,BoolType,IntArray,StringArray,DoubleArray,FloatArray,BoolArray,Int2Array,String2Array,Double2Array,Float2Array,Bool2Array,IntDic,StringDic,DoubleDic,FloatDic,BoolDic,IntArrayDic,StringArrayDic,DoubleArrayDic,FloatArrayDic,BoolArrayDic
INT,,INT,STRING,DOUBLE,FLOAT,BOOL,INT[],STRING[],DOUBLE[],FLOAT[],BOOL[],INT[][],STRING[][],DOUBLE[][],FLOAT[][],BOOL[][],INT<>,STRING<>,DOUBLE<>,FLOAT<>,BOOL<>,INT<[]>,STRING<[]>,DOUBLE<[]>,FLOAT<[]>,BOOL<[]>
1,,1,text1,1.2,322.33,TRUE,1|2|3|3|4,as|ff|sd|5zs,23.43|534.9|23.34|12.12,23.43|534.9|23.34|12.12,true|true|false|true,1~23|2~75|3~43|3|4,as|ff|sd|5zs,23.43~12.23|534.9~23.22|23.34~33.33|12.12,23.43~12.23|534.9~23.22|23.34~33.33|12.12,true~false~true|true|false~true|true,k1=1|k2=12|k3=322,k1=aa|k2=bb|k3=ccss,k1=1.1|k2=12|k3=322,k1=1.1|k2=12|k3=322,k1=true|k2=false|k3=true,k1=1~2~99|k2=12~7~7|k3=322~233,k1=a~a|k2=b~b|k3=cc~ss,k1=1.1~23.34|k2=12|k3=32~2.23,k1=1.1~23.34|k2=12|k3=32~2.23,k1=true~false~false|k2=false|k3=true
2,,2,text2,1.3,322.34,FALSE,1|2|233|3|4,211|a|45|df,23.43|534.9|223.34|12.13,23.43|534.9|223.34|12.13,true|true|false|true,1|2|233|3|4,211~2333ss|a|45|df,23.43|534.9|223.34|12.13,23.43|534.9|223.34|12.13,true|true|false~true|true~true,k1=1|k2=12|k3=323,k1=aa|k2=bb|k4=cc,k1=1|k2=1.2|k3=323,k1=1|k2=1.2|k3=323,k1=true|k2=false|k4=true,k1=1|k2=12|k3=323,k1=aa|k2=bb|k4=cc,k1=1|k2=1.2|k3=323,k1=1|k2=1.2|k3=323,k1=true|k2=false|k4=true
3,,3,text3,1.4,322.35,TRUE,1|2|233|3|5,211|a|46|df,23.43|534.9|23.34|12.14,23.43|534.9|23.34|12.14,true|true|false|true,1|2|233|3|5,211~saasd|a|46|df,23.43|534.9|23.34|12.14,23.43|534.9|23.34|12.14,true|true|false|true,k1=1|k2=12|k3=324,k1=ssaa|k2=bb|k5=cc,k1=1|k2=12|k3=3.24,k1=1|k2=12|k3=3.24,k1=true|k2=false|k5=true,k1=1|k2=12|k3=324,k1=ssaa|k2=bb|k5=c~c,k1=1|k2=12|k3=3.24,k1=1|k2=12|k3=3.24,k1=true|k2=false|k5=true
4,,4,text4,1.5,322.36,TRUE,122|2|233,211|a|47|df,23.43|534.9|23.34|12.15,23.43|534.9|23.34|12.15,true|true|false|true,122|2|233~494,211|a|47|df,23.43|534.9|23.34|12.15,23.43|534.9|23.34|12.15,true|true~true|false|true,k1=1|k2=12|k3=325,k1=assa|k2=bb|k6=cc,k1=1|k2=12|k3=32.5,k1=1|k2=12|k3=32.5,k1=true|k2=false|k6=true,k1=1|k2=12|k3=325,k1=assa|k2=bb|k6=cc,k1=1|k2=12|k3=32.5,k1=1|k2=12|k3=32.5,k1=true|k2=false|k6=true
5,,5,text5,1.6,322.37,TRUE,1|2|233|3|7,211|a|48|df,23.43|534.9|23.34|12.16,23.43|534.9|23.34|12.16,true|true|false|true,1|2|233|3|7,211|a|48|df,23.43|534.9|23.34|12.16,23.43|534.9|23.34|12.16,true|true~true~false|false~false|true,k1=1|k2=12|k3=326,k1=aa|k2=basb|k7=cc,k1=1|k2=12|k3=32.6,k1=1|k2=12|k3=32.6,k1=true|k2=false|k7=true,k1=1|k2=12|k3=326,k1=aa|k2=basb|k7=cc,k1=1|k2=12|k3=32.6~12.12,k1=1|k2=12|k3=32.6~12.12,k1=true|k2=false|k7=true
6,XXx,6,text6,1.7,322.38,TRUE,1|2332|233|3|8,211|a|49|df,23.43|534.9|23.34|12.17,23.43|534.9|23.34|12.17,true|true|false|true,1|2332|233|3|8,211|a|49|df,23.43|534.9|23.34|12.17,23.43|534.9|23.34|12.17,true~false~false|true|false|true,k1=12|k2=12|k3=327,k1=assa|k2=bb|k8=cc,k1=12|k2=1.2|k3=327,k1=12|k2=1.2|k3=327,k1=true|k2=false|k8=true,k1=12|k2=12|k3=327,k1=assa|k2=bb|k8=cc,k1=12~12.33|k2=1.2~22.2|k3=32.7~12.12,k1=12~12.33|k2=1.2~22.2|k3=32.7~12.12,k1=true|k2=false|k8=true
